"Notebook","Text count","Description"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq257/object","3","Raimondi, Giuseppe. Quaderno manoscritto, ""La fine di qualcosa : racconto. 21.11.1969 ; Ungaretti. 25.11.969 ; Un ritratto a pastello. 27.11.1969"""
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq137/object","2","Raimondi, Giuseppe. Quaderno manoscritto, ""Il doganiere Rousseau e gli altri. 8.3.1961 ; Pierre Reverdy : 1917. 15.3.961"""
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq19/object","2","Raimondi, Giuseppe. Quaderno manoscritto, ""Gerard de Nerval. 1951 ; Un sogno [dell'anno '43]. 1953 : (al mi papa l'e anda a la fira)"""
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq107/object","2","Raimondi, Giuseppe. Quaderno manoscritto, ""Stufe & termosifoni ; I camaleonti in farmacia. 3.8.1959"""
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq383/object","4","Raimondi, Giuseppe. Quaderno manoscritto, ""Quadretti e capricci. 30.5.76 ; Gli angeli sono fra di noi : nuova versione. Giugno '76 ; Dove incomincia il Reno. 12/7/76 ; Le giornate di questa lunga estate : versione 1. Luglio 76"""
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq157/object","2","Raimondi, Giuseppe. Quaderno manoscritto, ""Un momento della nostra vita. 2.3.1962 ; I grandi romantici inglesi. 13.3.962"""
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq220/object","3","Raimondi, Giuseppe. Quaderno manoscritto, ""Un Oscar per Cardarelli. 8.3.966 ; La primavera di Laforgue. 8.3.1967 ; La brutta ""storia"" dei Canti Orfici. 27.3.1967"""
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq272/object","2","Raimondi, Giuseppe. Quaderno manoscritto, ""Il capomastro Maccagnani : racconto ; Holderlin e il falegname Zimmer"""
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq212/object","2","Raimondi, Giuseppe. Quaderno manoscritto, ""Il mito di Parigi. 19.10.965 ; Visioni di William Blake. 5.11.965"""
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq175/object","2","Raimondi, Giuseppe. Quaderno manoscritto, ""La Certosa di Modena : (Delfini - Stendhal). 7.3.63 ; Il pittore bolognese Athos Casarini. 16.3.63"""
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq90/object","2","Raimondi, Giuseppe. Quaderno manoscritto, ""Per le strade di Bologna. 3.12.1958 ; A proposito di A. Modigliani. 8.2.1959"""
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq91/object","2","Raimondi, Giuseppe. Quaderno manoscritto, ""Il Bellotto a Varsavia. 6.12.958 ; Considerazioni su Don Giovanni. 12.12.958"""
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq111/object","3","Raimondi, Giuseppe. Quaderno manoscritto, ""Sul prato di Villa Corni ; Il ""nominato"" Domenico Giordani ; Su William Faulkner. Nov. dicembre 1959"""
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq105/object","2","Raimondi, Giuseppe. Quaderno manoscritto, ""Storie d'amore. 28.6.1959 ; Il caso ""Henri Michaux"". 10.7.959"""
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq79/object","2","Raimondi, Giuseppe. Quaderno manoscritto, ""Fantasmi di Ruzzante : (Gli stracci di Ruzzante) ; La prosa contemporanea. Aprile, maggio 1958"""
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq120/object","3","Raimondi, Giuseppe. Quaderno manoscritto, ""Le cave di Maiano. 14.6.960 ; Il Carlo Porta di D. Isella. 22.6.960 ; La piazza nel sole. 26.6.960"""
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq146/object","3","Raimondi, Giuseppe. Quaderno manoscritto, ""Gustave Moreau al Louvre ; Il quartiere di Pascal ; La cucina di Chardin"""
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq141/object","2","Raimondi, Giuseppe. Quaderno manoscritto, ""Le sculture di Daumier. 21.5.961 ; Un uomo intraprendente. 25.5.961"""
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq303/object","2","Raimondi, Giuseppe. Quaderno manoscritto, ""Una forca per il poeta Francois Villon"""
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq158/object","3","Raimondi, Giuseppe. Quaderno manoscritto, ""Le stampe del Piranesi. 21.5.962 ; Pascoli, e il paesaggio di Romagna. 28.3.962 ; Il canonico Malvasia. 6.4.962"""
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq271/object","2","Raimondi, Giuseppe. Quaderno manoscritto, ""Preparativi per un collaudo : racconto. 4.3.1971 ; Storia di una cedola di carta gialla : racconto. Maggio 1971"""
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq138/object","2","Raimondi, Giuseppe. Quaderno manoscritto, ""I viaggi di Ungaretti. 25.3.1961 ; L'Africa di Rimbaud. 20.3.1961"""
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq415/object","3","Raimondi, Giuseppe. Quaderno manoscritto, ""Prefazione per l'arlecchino. 6/1. 1980 ; Il forte silenzio della neve ; Dialogo sotto il portico"""
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq81/object","2","Raimondi, Giuseppe. Quaderno manoscritto, ""Di alcune date ; Gerard de Nerval"""
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq199/object","3","Raimondi, Giuseppe. Quaderno manoscritto, ""Mostra dell'arte romana nell'Italia settentrionale. 26.9.64 ; La natura morta a Napoli, 1. 10.10.64 ; Id. id. id. 2."""
