"Notebook","Title","Page count"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq152/object","I disegni di Michelangelo. 16.1.1962 ; Una rivista letteraria a Bologna : (La Raccolta 1918)","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq228/object","Convalescenza con gli inglesi. 26.4.967","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq228/object","Convalescenza con gli inglesi. 26.4.967 ; L'eredita di Giotto. 18.5.967","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq184/object","Mario Ricci a Bassano. 2.9.1963 ; La natura morta di De Logu. 4.9.63 ; Toscani in natura morta. 22.9.963","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq184/object","Mario Ricci a Bassano. 2.9.1963","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq196/object","""Le rameau de Salzbourg"". 29.5.64","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq374/object","Racconto degli anni tra il 1921 e il '22. Giugno 1953","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq390/object","Il pianto di Baudelaire nella notte. 19.9.1977","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq153/object","La partita al pallone del mercoledi. 24.1.962","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq153/object","La partita al pallone del mercoledi. 24.1.962 ; L'estetica del Camaleonte. 30.1.1962","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq28/object","Radio. Ottobre 1955 : Valigia delle Indie","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq51/object","La valigia delle Indie","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq147/object","Dopo Parigi : appunti. Ottobre '961","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq48/object","Valigia delle Indie. Dicembre 1956","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq66/object","Articoli vari. (Novembre 1957)","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq448/object","Varie  Febbraio 1954","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq62/object","Miscellanea dell'agosto 1957","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq267/object","Rimini. Settembre 1971","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq102/object","Un canto di soldati","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq102/object","Un canto di soldati ; Stendhal e il realismo ; I poeti di Ferrara. 22 maggio 1959","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq178/object","I primi eroi : (i fumetti). 2.5.1963 ; La nicchia di San Bernerdino. 7.5.1963 ; I cinquant'anni di Lacerba. 14.5.963","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq178/object","I primi eroi : (i fumetti). 2.5.1963","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq242/object","Un sogno del '43. 3 febbr. 1968","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq242/object","Un sogno del '43. 3 febbr. 1968 ; L'uomo all'ospedale. 8.2.1968","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq125/object","Degas da Durand-Ruel. 5.10.1960","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq125/object","Degas da Durand-Ruel. 5.10.1960 ; Novembre a Comacchio. 15.11.1960","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq230/object","L'uomo dal bicchiere di vino : (Villon). 24.8.67","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq244/object","La strada di Palmanova : racconto. 23.4.1968","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq244/object","La strada di Palmanova : racconto. 23.4.1968 ; Il ritratto del ragazzo : racconto. 28.4.1968 ; Taccuino nuovo : (Le nevi dell'altro anno, La strada di Marradi). 1. maggio 1968","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq110/object","Il fiorentino Mazzoni. (5.10.1959) ; Interni di Vuillard. (4.11.1959) ; Estate di San Martino. (10.11.1959)","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq110/object","Il fiorentino Mazzoni. (5.10.1959)","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq144/object","Qualche annotazione sul Bacchelli bolognese. Luglio, agosto 1961","10 carte"
